red,green,blue,ambient,width,label
622.60,377.40,364.30,335.10,28,ripe
625.20,379.20,366.10,336.80,28,ripe
626.70,380.10,366.80,337.30,28,ripe
627.80,380.50,366.30,336.50,28,ripe
627.90,381.10,367.50,337.80,28,ripe
628.50,381.60,368.00,337.90,28,ripe
629.20,382.40,368.70,339.80,28,ripe
630.60,384.80,370.60,340.80,28,ripe
631.20,385.70,372.00,342.20,28,ripe
631.30,384.70,370.30,340.90,28,ripe
631.50,385.70,372.30,342.60,28,ripe
632.30,386.90,373.20,344.00,28,ripe
632.90,386.20,372.50,343.20,28,ripe
632.40,386.60,373.20,343.90,28,ripe
632.70,387.80,374.20,344.50,28,ripe
633.10,388.00,374.20,345.20,28,ripe
633.30,388.00,374.70,345.60,28,ripe
634.00,389.00,375.10,345.70,28,ripe
633.60,388.30,375.10,345.90,28,ripe
634.10,389.40,376.50,347.50,28,ripe
635.20,391.00,376.60,346.50,28,ripe
633.90,388.30,374.40,344.70,28,ripe
633.40,388.30,374.60,345.20,28,ripe
633.90,388.60,374.60,344.30,28,ripe
632.70,386.90,373.60,342.20,28,ripe
631.40,383.40,367.90,337.40,28,ripe
630.30,382.30,368.70,338.70,28,ripe
630.30,381.90,368.20,338.40,28,ripe
629.50,381.20,366.20,333.80,28,ripe
627.20,378.80,365.00,335.00,28,ripe
627.80,378.60,365.00,337.20,28,ripe
630.00,383.80,370.80,341.30,28,ripe
631.40,381.80,367.90,339.50,28,ripe
631.40,385.40,371.90,342.50,28,ripe
632.70,387.60,374.30,344.90,28,ripe
633.90,388.60,375.50,346.20,28,ripe
635.00,390.60,377.30,349.60,28,ripe
636.40,392.50,378.30,348.50,28,ripe
635.30,390.70,377.10,348.30,28,ripe
635.40,390.50,376.90,347.50,28,ripe
635.40,391.20,377.60,348.10,28,ripe
636.90,393.50,379.60,351.30,28,ripe
637.40,394.70,381.40,352.50,28,ripe
637.40,393.90,380.20,350.90,28,ripe
637.20,393.80,380.60,351.30,28,ripe
637.30,393.70,380.50,351.10,28,ripe
637.40,394.10,380.50,351.50,28,ripe
637.30,394.30,380.80,351.80,28,ripe
637.60,394.20,381.00,352.10,28,ripe
