red,green,blue,label
736.00,632.00,611.20,unripe
696.70,621.00,608.20,unripe
705.00,624.70,604.60,unripe
695.10,615.30,600.10,unripe
698.80,618.20,603.00,unripe
701.60,620.70,605.90,unripe
698.40,613.10,595.70,unripe
689.40,614.00,600.00,unripe
695.50,617.90,603.00,unripe
697.10,618.00,601.80,unripe
670.50,567.00,537.00,unripe
606.00,539.50,507.50,unripe
564.90,521.50,517.10,unripe
603.10,561.00,563.70,unripe
647.20,579.20,570.30,unripe
652.20,583.80,568.90,unripe
649.20,582.20,567.80,unripe
648.80,582.40,568.50,unripe
652.30,585.10,570.10,unripe
627.70,589.20,600.40,unripe
691.20,615.00,592.50,unripe
660.60,604.90,595.70,unripe
674.80,608.70,596.70,unripe
678.90,619.00,606.40,unripe
691.90,623.90,613.00,unripe
700.40,633.60,622.40,unripe
700.60,639.80,632.70,unripe
713.10,648.60,632.50,unripe
707.70,641.30,630.60,unripe
713.30,646.00,634.80,unripe
712.70,648.30,636.90,unripe
715.00,650.20,638.10,unripe
721.80,654.50,636.20,unripe
712.90,651.00,634.00,unripe
701.40,641.20,631.50,unripe
708.80,646.90,627.70,unripe
695.80,636.10,627.50,unripe
709.30,645.50,633.90,unripe
712.90,648.40,636.70,unripe
715.20,651.80,640.70,unripe
718.40,657.60,625.10,unripe
675.20,613.70,602.90,unripe
660.30,601.60,592.80,unripe
671.50,617.40,605.60,unripe
687.50,626.10,613.60,unripe
692.30,633.00,620.70,unripe
693.70,634.90,621.50,unripe
695.00,633.50,621.50,unripe
693.00,630.80,618.20,unripe
696.90,635.70,624.40,unripe
654.90,588.30,559.70,unripe
634.70,594.60,608.30,unripe
684.00,627.50,617.70,unripe
694.80,634.50,621.40,unripe
695.60,633.80,623.40,unripe
696.60,638.40,631.30,unripe
707.10,636.50,624.90,unripe
679.20,621.40,607.20,unripe
659.60,586.70,577.60,unripe
632.60,570.90,561.90,unripe
633.30,589.70,591.00,unripe
639.60,570.20,563.80,unripe
643.80,571.90,561.80,unripe
640.40,595.30,590.10,unripe
664.80,612.00,604.80,unripe
682.40,624.60,615.70,unripe
716.30,649.10,644.10,unripe
747.60,673.90,650.80,unripe
741.30,654.10,635.50,unripe
737.50,655.30,642.50,unripe
747.70,664.10,649.10,unripe
752.30,667.10,652.50,unripe
754.60,670.10,655.70,unripe
757.70,674.50,660.10,unripe
759.40,676.90,662.80,unripe
762.40,680.80,668.40,unripe
769.50,691.50,679.80,unripe
775.00,697.00,682.20,unripe
776.00,698.90,685.80,unripe
780.70,703.80,691.80,unripe
784.40,714.50,707.40,unripe
778.30,683.30,658.40,unripe
731.00,644.50,633.00,unripe
713.40,676.50,690.80,unripe
795.50,726.30,719.50,unripe
808.10,742.30,730.80,unripe
818.20,750.00,737.10,unripe
816.60,745.90,732.60,unripe
817.10,747.90,734.80,unripe
818.80,748.50,734.80,unripe
817.90,746.50,732.40,unripe
817.70,746.10,732.20,unripe
818.50,747.30,734.70,unripe
821.00,749.10,728.90,unripe
811.70,745.10,733.50,unripe
816.60,757.10,748.10,unripe
830.90,751.90,713.00,unripe
754.70,683.60,670.60,unripe
744.60,689.40,685.30,unripe
769.50,712.50,706.60,unripe
793.90,732.50,723.80,unripe
801.20,739.40,729.70,unripe
803.60,746.60,739.90,unripe
806.50,752.60,745.00,unripe
810.70,758.40,751.40,unripe
814.80,761.20,752.70,unripe
815.20,762.20,754.40,unripe
617.10,544.60,528.10,ripe
562.60,492.70,491.20,ripe
536.90,514.80,528.40,ripe
586.30,550.50,552.10,ripe
601.40,562.80,546.30,ripe
582.40,532.90,516.00,ripe
554.40,523.10,525.20,ripe
589.00,505.10,506.40,ripe
563.60,501.10,498.00,ripe
576.70,509.00,467.10,ripe
553.00,498.20,485.20,ripe
528.00,405.20,370.90,ripe
406.80,374.50,376.50,ripe
433.00,401.60,412.00,ripe
534.70,477.90,456.90,ripe
511.00,465.80,467.70,ripe
531.10,455.60,428.70,ripe
496.90,418.10,412.10,ripe
494.10,431.40,411.50,ripe
466.70,410.20,403.00,ripe
459.80,395.40,382.20,ripe
453.20,400.90,404.00,ripe
507.10,419.90,403.40,ripe
477.70,400.40,399.40,ripe
494.40,408.40,390.40,ripe
413.40,381.10,387.00,ripe
514.00,421.80,414.00,ripe
511.30,438.80,443.00,ripe
521.40,432.60,419.20,ripe
490.20,430.50,432.60,ripe
488.60,414.20,409.30,ripe
485.90,400.60,376.40,ripe
416.60,372.40,362.20,ripe
413.70,378.50,380.20,ripe
458.60,395.20,391.10,ripe
476.10,399.30,392.90,ripe
466.40,394.60,386.70,ripe
474.80,408.20,408.50,ripe
505.50,446.40,476.00,ripe
592.40,528.10,525.70,ripe
615.60,515.70,493.60,ripe
559.40,431.10,417.80,ripe
476.20,395.50,380.20,ripe
457.00,398.90,397.60,ripe
503.20,424.60,417.00,ripe
567.20,470.50,417.90,ripe
533.20,421.50,408.30,ripe
476.70,398.50,388.70,ripe
447.60,394.60,394.50,ripe
488.10,417.40,406.40,ripe
